
from pyannote.audio import Pipeline
pipeline = Pipeline.from_pretrained(
    "pyannote/speaker-diarization-3.1",
    use_auth_token="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")

# send pipeline to GPU (when available)
import torch
pipeline.to(torch.device("cuda"))

# apply pretrained pipeline

start=3.2s stop=17.0s speaker_SPEAKER_00
start=17.7s stop=32.1s speaker_SPEAKER_00
start=32.5s stop=33.0s speaker_SPEAKER_00
start=33.3s stop=37.0s speaker_SPEAKER_00
start=38.1s stop=38.6s speaker_SPEAKER_00
start=38.8s stop=39.5s speaker_SPEAKER_00
start=40.2s stop=61.1s speaker_SPEAKER_00
start=61.7s stop=65.5s speaker_SPEAKER_00
start=65.7s stop=80.0s speaker_SPEAKER_00
start=80.5s stop=81.6s speaker_SPEAKER_00
start=82.2s stop=84.3s speaker_SPEAKER_00
start=85.8s stop=90.5s speaker_SPEAKER_03
start=91.6s stop=92.0s speaker_SPEAKER_00
start=92.1s stop=101.2s speaker_SPEAKER_00
start=102.1s stop=102.4s speaker_SPEAKER_03
start=103.7s stop=110.2s speaker_SPEAKER_02
start=111.3s stop=118.7s speaker_SPEAKER_02
start=119.5s stop=122.1s speaker_SPEAKER_02
start=123.8s stop=134.8s speaker_SPEAKER_00
start=135.3s stop=151.6s speaker_SPEAKER_00
start=151.9s stop=155.0s speaker_SPEAKER_00
start=155.5s stop=160.1s speaker_SPEAKER_00
start=160.6s stop=164.7s speaker_SPEAKER_00
start=166.6s stop=167.6s speaker_SPEAKER_02
start=168.6s stop=168.9s speaker_SPEAKER_00
start=173.6s stop=174.1s speaker_SPEAKER_00
start=175.5s stop=186.5s speaker_SPEAKER_00
start=187.0s stop=210.8s speaker_SPEAKER_00
start=211.5s stop=211.9s speaker_SPEAKER_00
start=212.4s stop=214.7s speaker_SPEAKER_00
start=215.2s stop=224.5s speaker_SPEAKER_00
start=224.9s stop=228.0s speaker_SPEAKER_00
start=229.6s stop=230.0s speaker_SPEAKER_00
start=230.6s stop=242.9s speaker_SPEAKER_00
start=243.5s stop=247.7s speaker_SPEAKER_00
start=247.9s stop=261.9s speaker_SPEAKER_00
start=262.2s stop=262.5s speaker_SPEAKER_03
start=263.6s stop=265.6s speaker_SPEAKER_01
start=266.6s stop=267.2s speaker_SPEAKER_01
start=267.7s stop=273.2s speaker_SPEAKER_01
start=273.4s stop=282.2s speaker_SPEAKER_01
start=282.9s stop=285.0s speaker_SPEAKER_01
start=286.0s stop=290.6s speaker_SPEAKER_01
start=291.0s stop=295.0s speaker_SPEAKER_02
start=296.4s stop=299.6s speaker_SPEAKER_02
start=297.2s stop=300.5s speaker_SPEAKER_03
start=300.2s stop=304.7s speaker_SPEAKER_02
start=305.5s stop=308.9s speaker_SPEAKER_01
start=305.7s stop=305.8s speaker_SPEAKER_02
start=305.8s stop=306.7s speaker_SPEAKER_03
start=308.6s stop=310.2s speaker_SPEAKER_03
start=310.6s stop=312.8s speaker_SPEAKER_01
start=312.8s stop=313.2s speaker_SPEAKER_03
start=313.6s stop=315.3s speaker_SPEAKER_01
start=316.1s stop=318.3s speaker_SPEAKER_01
start=319.0s stop=319.8s speaker_SPEAKER_00
start=320.1s stop=321.7s speaker_SPEAKER_00
start=322.6s stop=323.3s speaker_SPEAKER_00
start=323.8s stop=324.3s speaker_SPEAKER_00
start=324.9s stop=329.7s speaker_SPEAKER_00
start=330.2s stop=340.4s speaker_SPEAKER_00
start=341.2s stop=343.2s speaker_SPEAKER_00
start=343.7s stop=352.4s speaker_SPEAKER_00
start=349.5s stop=349.7s speaker_SPEAKER_02
start=355.1s stop=360.7s speaker_SPEAKER_01
start=359.8s stop=361.9s speaker_SPEAKER_03
start=362.9s stop=363.3s speaker_SPEAKER_03
start=363.8s stop=367.4s speaker_SPEAKER_03
start=368.6s stop=370.7s speaker_SPEAKER_03
start=372.5s stop=380.5s speaker_SPEAKER_00
start=380.6s stop=385.0s speaker_SPEAKER_00
start=385.2s stop=395.4s speaker_SPEAKER_00
start=395.6s stop=396.2s speaker_SPEAKER_00
start=396.6s stop=396.6s speaker_SPEAKER_00
start=396.6s stop=399.5s speaker_SPEAKER_03
start=396.6s stop=397.5s speaker_SPEAKER_00
start=401.1s stop=402.6s speaker_SPEAKER_00
start=403.0s stop=403.7s speaker_SPEAKER_00
start=404.1s stop=415.4s speaker_SPEAKER_00
start=414.7s stop=418.2s speaker_SPEAKER_03
start=419.7s stop=433.6s speaker_SPEAKER_00
start=434.1s stop=437.1s speaker_SPEAKER_00
start=437.5s stop=441.2s speaker_SPEAKER_00
start=441.5s stop=445.3s speaker_SPEAKER_00
start=446.4s stop=446.6s speaker_SPEAKER_00
start=447.2s stop=460.5s speaker_SPEAKER_00
start=460.7s stop=466.4s speaker_SPEAKER_00
start=467.3s stop=467.8s speaker_SPEAKER_00
start=468.6s stop=470.5s speaker_SPEAKER_00
start=471.0s stop=484.3s speaker_SPEAKER_00
start=484.3s stop=484.7s speaker_SPEAKER_03
start=484.7s stop=489.0s speaker_SPEAKER_00
start=487.3s stop=487.6s speaker_SPEAKER_03
start=490.3s stop=490.6s speaker_SPEAKER_00
start=491.4s stop=491.8s speaker_SPEAKER_00
start=493.1s stop=494.1s speaker_SPEAKER_03
start=494.1s stop=496.0s speaker_SPEAKER_00
start=494.2s stop=494.6s speaker_SPEAKER_03
start=496.7s stop=506.1s speaker_SPEAKER_00
start=506.7s stop=517.8s speaker_SPEAKER_00
start=515.1s stop=515.5s speaker_SPEAKER_02
start=519.3s stop=520.3s speaker_SPEAKER_00
start=520.5s stop=529.8s speaker_SPEAKER_00
start=526.5s stop=526.7s speaker_SPEAKER_03
start=531.2s stop=535.1s speaker_SPEAKER_01
start=532.5s stop=532.8s speaker_SPEAKER_00
start=535.1s stop=535.5s speaker_SPEAKER_03
start=535.7s stop=536.6s speaker_SPEAKER_03
start=537.0s stop=537.5s speaker_SPEAKER_03
start=538.3s stop=538.7s speaker_SPEAKER_00
start=539.5s stop=542.2s speaker_SPEAKER_00
start=542.6s stop=543.3s speaker_SPEAKER_00
start=543.5s stop=544.3s speaker_SPEAKER_03
start=544.6s stop=545.5s speaker_SPEAKER_00
start=544.7s stop=544.7s speaker_SPEAKER_03
start=545.7s stop=546.0s speaker_SPEAKER_03
